sample,blaPDC,blaACT-17,qnrS,gyrA_D87N,blaVIM-1,aph(3')-Ia,aac(6')-Ib4,blaOXA-23,sul3,blaOXA-1,blaCTX-M,qacEdelta1,smr,blaOXA,gyrA_T83I,mph(B),blaSHV-187,aph(3')-IIb,blaIMP,gyrA_S83F,dfrA12,blaACT-45,blaNDM-1,blaOXA-378,blaKPC-3,oqxA10,lnu(F),blaPDC-35,blaTEM-1,ant(3'')-IIa,aac(6')-Ib,aac(6')-Ib-cr5,aadA1,blaOXA-48,mph(A),qnrB4,catB7,aac(3)-IIe,dfrA16,blaPDC-2,blaACT-16,adeS_R152K,ptsI_V25I,dfrA36,aph(6)-Id,blaOXA-24,blaOXA-387,glpT_E448K,dfrA15,qnrB,catA1,blaSHV-28,tet(B),blaIMP-19,sul1,qacF,dfrB1,dfrA14,gyrA_S81L,qacL,aac(6')-Ian,parC_S87L,ant(2'')-Ia,parE_I529L,blaCTX-M-2,dfrB9,rmtB,cmlA5,dfrB,msr(E),blaADC-30,blaOXA-65,blaDHA-1,armA,pmrB_R256G,aac(3)-IId,tet(X3),qnrS1,catB8,oqxB5,qacE,blaCTX-M-14,parC_S84L,blaACT,dfrA20,pmrB_Y358N,qnrB6,blaCMY-2,floR,fosA10,parC_S80I,gyrA_D87Y,qnrA,oqxA11,blaOXA-9,aph(3'')-Ib,aph(3')-XV,mcr-1.1,blaOXA-420,blaOXA-58,blaADC-244,aadA2,aac(6')-Ib',aadA12,blaSHV,blaVIM,arr-3,fosA,blaSHV-12,blaCTX-M-15,qnrA1,catB3,qnrB1,aadA11,dfrA17,pmrB_E123D,uhpT_E350Q,oqxR_V113I,oqxA,blaADC,blaOXA-488,marR_S3N,aac(3)-Ic,cmlA1,blaNDM,aadA22,blaACT-24,blaOXA-66,gyrA_S83I,tet(A),dfrA1,ble,rmtC,sul2,blaTEM-24,gyrA_S83L,mph(E),blaSHV-11,catB2,aac(3)-VIa,aac(6')-Ib3,parC_E84V,blaCTX-M-9,aadA5,blaCMY,oqxB19,blaIMP-1,oqxB,parC_S84W,tet(C),blaSHV-1,rmtB1
AB1_S175,0,0,0,0,0,plasmid,0,plasmid,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,chromosome,0,plasmid,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,plasmid,chromosome,0,0,plasmid,0,0,0,0,plasmid,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB2_S176,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,plasmid,0,chromosome,0,0,0,plasmid,plasmid,0,0,0,0,0,chromosome,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB3_S177,chromosome,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,chromosome,chromosome,0,0,0,0,0,0,0,0,0,chromosome,chromosome,chromosome,0,0,0,chromosome,0,chromosome,chromosome,0,0,0,0,0,0,plasmid,plasmid,chromosome,0,0,0,0,0,0,0,plasmid,0,0,0,chromosome,0,plasmid,0,0,0,0,0,0,plasmid,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,plasmid,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,chromosome,0,0,0,0,0,0,chromosome,0,plasmid,0,0,0,0,chromosome,0,0,0,chromosome,0,chromosome,0,chromosome,0,chromosome,0,0,0,0,0,0,plasmid,0,plasmid,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,chromosome,0,0,0
AB4_S178,0,0,0,0,0,chromosome,plasmid,0,0,0,chromosome,plasmid,plasmid,0,0,0,0,chromosome,0,0,0,0,plasmid,plasmid,0,0,0,chromosome,chromosome,chromosome,0,0,chromosome,0,plasmid,0,chromosome,chromosome,0,0,0,chromosome,0,0,chromosome,plasmid,0,0,0,0,0,0,0,0,plasmid,chromosome,0,0,chromosome,0,0,0,chromosome,0,0,plasmid,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,chromosome,chromosome,0,plasmid,0,0,0,0,0,chromosome,0,0,chromosome,chromosome,0,chromosome,0,0,0,0,0,0,0,0,chromosome,0,0,0,chromosome,0,0,chromosome,0,0,0,plasmid,chromosome,chromosome,0,0,0,0,0,0,0,0,0,0,plasmid,0,chromosome,0,0,0,0,0,0,0,0,0,chromosome,chromosome,0,plasmid,0,0,plasmid,0,0
BES-ECLO-18_S187,0,0,0,0,chromosome,plasmid,chromosome,0,0,0,0,plasmid,0,0,0,0,0,chromosome,chromosome,0,0,0,0,0,0,0,0,chromosome,plasmid,0,0,0,chromosome,0,0,0,chromosome,0,0,0,0,0,0,chromosome,plasmid,0,0,0,0,0,0,0,plasmid,0,plasmid,0,0,0,0,0,0,0,0,0,plasmid,chromosome,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,plasmid,0,0,0,0,0,0,plasmid,chromosome,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,chromosome,0,chromosome,0,plasmid,0,0,0,0,0,0,0,chromosome,0,0,plasmid,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,chromosome,0,chromosome,0,0
BES-ESCO-04_S182,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,plasmid,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BES-ESCO-05_S183,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,chromosome,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BES-ESCO-07_S184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,plasmid,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BES-ESCO-08_S185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,plasmid,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIJ-ESCO-24-3_S186,0,0,chromosome,0,0,plasmid,chromosome,0,0,0,0,plasmid,0,chromosome,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,chromosome,plasmid,0,0,0,plasmid,0,0,0,chromosome,0,0,0,0,0,0,chromosome,plasmid,0,0,chromosome,0,0,0,0,plasmid,0,plasmid,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,plasmid,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,chromosome,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,plasmid,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0
EC10_S170,chromosome,0,0,0,0,0,chromosome,0,0,0,plasmid,0,plasmid,plasmid,0,0,0,chromosome,0,chromosome,0,0,plasmid,0,0,chromosome,0,0,plasmid,chromosome,0,0,chromosome,0,chromosome,0,chromosome,plasmid,chromosome,0,0,0,0,0,plasmid,plasmid,chromosome,0,0,0,plasmid,0,0,0,plasmid,0,0,chromosome,0,0,plasmid,0,plasmid,0,0,plasmid,plasmid,plasmid,0,0,0,0,0,0,0,0,0,plasmid,0,chromosome,plasmid,0,0,chromosome,chromosome,0,plasmid,0,plasmid,0,0,0,0,0,0,plasmid,0,0,0,0,0,plasmid,0,0,0,0,0,chromosome,chromosome,0,plasmid,plasmid,0,0,0,0,0,plasmid,0,chromosome,0,0,0,0,0,0,0,0,chromosome,plasmid,0,plasmid,0,plasmid,0,0,0,0,0,0,0,0,plasmid,chromosome,plasmid,0,plasmid,0,0,0,0,0
EC1_S159,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,chromosome,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0
EC7_S167,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,plasmid,plasmid,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,chromosome,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,plasmid,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC8_S168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC9_S169,chromosome,0,0,chromosome,0,0,plasmid,0,0,plasmid,0,0,plasmid,chromosome,0,0,0,chromosome,0,chromosome,0,0,plasmid,0,0,chromosome,0,0,plasmid,chromosome,0,0,plasmid,0,plasmid,0,chromosome,chromosome,chromosome,0,0,0,0,0,chromosome,plasmid,chromosome,0,0,0,0,0,plasmid,0,plasmid,chromosome,0,chromosome,0,0,0,0,plasmid,0,0,plasmid,0,plasmid,0,0,0,0,0,0,0,chromosome,0,0,0,chromosome,plasmid,0,0,0,0,0,plasmid,plasmid,plasmid,0,chromosome,0,0,0,0,chromosome,plasmid,0,0,0,chromosome,plasmid,0,0,0,chromosome,0,chromosome,0,plasmid,plasmid,plasmid,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,chromosome,plasmid,plasmid,chromosome,0,chromosome,0,chromosome,0,0,0,0,plasmid,plasmid,0,0,plasmid,0,0,chromosome,0,0
ECL1_S162,0,0,0,0,0,0,0,0,0,plasmid,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,plasmid,plasmid,0,0,0,0,plasmid,0,0,chromosome,0,0,0,plasmid,0,0,0,0,0,chromosome,0,0,0,plasmid,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,plasmid,0,plasmid,plasmid,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,plasmid,chromosome,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0
ECL2_S163,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,chromosome,0,0,0,0,0,0,0,chromosome,plasmid,0,0,0,0,0,plasmid,0,0,plasmid,0,plasmid,0,0,0,chromosome,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,plasmid,0,0,0,0,0,0,0,chromosome,chromosome,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,chromosome,0,0,chromosome,0,plasmid,0,plasmid,chromosome,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,chromosome,0,0,chromosome,0,plasmid,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,plasmid
ECL3_S164,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,chromosome,plasmid,0,0,0,0,0,plasmid,0,0,chromosome,0,plasmid,0,0,0,chromosome,0,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,chromosome,0,0,chromosome,0,chromosome,0,chromosome,chromosome,0,0,0,0,0,chromosome,0,0,0,0,0,0,0,0,0,chromosome,chromosome,0,plasmid,0,chromosome,0,0,0,0,0,0,0,0,0,0,0,0,0,chromosome,0,0,0,plasmid
